"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	22	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	1161	40650234	2.9
	"< 1 year"	"0"	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	13	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	7	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	6	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Whooping cough (A37)"	"GR113-007"	136	40650234	0.3
	"< 1 year"	"0"	"Female"	"F"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	1	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	91	40650234	0.2
	"< 1 year"	"0"	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	2133	40650234	5.2
	"< 1 year"	"0"	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	23	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	1	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Measles (B05)"	"GR113-014"	2	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	15	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	29	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"#Malaria (B50-B54)"	"GR113-017"	1	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	1455	40650234	3.6
	"< 1 year"	"0"	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	658	40650234	1.6
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	2	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	1	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	3	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	36	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	3	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	5	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant melanoma of skin (C43)"	"GR113-028"	2	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of breast (C50)"	"GR113-029"	2	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	1	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	2	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	21	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	144	40650234	0.4
	"< 1 year"	"0"	"Female"	"F"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	263	40650234	0.6
	"< 1 year"	"0"	"Female"	"F"	"Hodgkin disease (C81)"	"GR113-038"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	8	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Leukemia (C91-C95)"	"GR113-040"	253	40650234	0.6
	"< 1 year"	"0"	"Female"	"F"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	2	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	0	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	173	40650234	0.4
	"< 1 year"	"0"	"Female"	"F"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	603	40650234	1.5
	"< 1 year"	"0"	"Female"	"F"	"#Anemias (D50-D64)"	"GR113-045"	136	40650234	0.3
	"< 1 year"	"0"	"Female"	"F"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	21	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	53	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Malnutrition (E40-E46)"	"GR113-048"	39	40650234	0.1
	"< 1 year"	"0"	"Female"	"F"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	14	40650234	Unreliable
	"< 1 year"	"0"	"Female"	"F"	"#Meningitis (G00,G03)"	"GR113-050"	649	40650234	1.6
